cik_num,date,doc_link,filings,html_link,inter_link,sic_num,xbrl_link
0001326380,2013-08-16,https://www.sec.gov/Archives/edgar/data/1326380/000000000013045257/0000000000-13-045257-index.htm,UPLOAD,,N/A,5734,N/A
0001326380,2013-07-19,https://www.sec.gov/Archives/edgar/data/1326380/000119312513295743/0001193125-13-295743-index.htm,8-K,,N/A,5734,N/A
0001326380,2013-06-27,https://www.sec.gov/Archives/edgar/data/1326380/000119312513274820/0001193125-13-274820-index.htm,8-K,,N/A,5734,N/A
0001326380,2013-06-17,https://www.sec.gov/Archives/edgar/data/1326380/000119312513261309/0001193125-13-261309-index.htm,8-K,,N/A,5734,N/A
0001326380,2013-06-13,https://www.sec.gov/Archives/edgar/data/1326380/000119312513257876/0001193125-13-257876-index.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1326380/000119312513257876/d521061d10q.htm,https://www.sec.gov/cgi-bin/viewer?action=view&cik=1326380&accession_number=0001193125-13-257876&xbrl_type=v,5734,https://www.sec.gov/Archives/edgar/data/1326380/000119312513257876/gme-20130504.xml
0001326380,2013-05-23,https://www.sec.gov/Archives/edgar/data/1326380/000115752313002872/0001157523-13-002872-index.htm,8-K,,N/A,5734,N/A
0001326380,2013-05-21,https://www.sec.gov/Archives/edgar/data/1326380/000119312513229224/0001193125-13-229224-index.htm,DEF 14A,,N/A,5734,N/A
0001326380,2013-05-13,https://www.sec.gov/Archives/edgar/data/1326380/000095013813000206/0000950138-13-000206-index.htm,8-K,,N/A,5734,N/A
0001326380,2013-05-10,https://www.sec.gov/Archives/edgar/data/1326380/000119312513214513/0001193125-13-214513-index.htm,PRE 14A,,N/A,5734,N/A
0001326380,2013-04-03,https://www.sec.gov/Archives/edgar/data/1326380/000119312513140443/0001193125-13-140443-index.htm,10-K,https://www.sec.gov/Archives/edgar/data/1326380/000119312513140443/d469015d10k.htm,https://www.sec.gov/cgi-bin/viewer?action=view&cik=1326380&accession_number=0001193125-13-140443&xbrl_type=v,5734,https://www.sec.gov/Archives/edgar/data/1326380/000119312513140443/gme-20130202.xml
0001326380,2013-03-28,https://www.sec.gov/Archives/edgar/data/1326380/000115752313001592/0001157523-13-001592-index.htm,8-K,,N/A,5734,N/A
0001326380,2013-03-05,https://www.sec.gov/Archives/edgar/data/1326380/000095013813000096/0000950138-13-000096-index.htm,8-K,,N/A,5734,N/A
0001326380,2013-02-26,https://www.sec.gov/Archives/edgar/data/1326380/000095013813000078/0000950138-13-000078-index.htm,8-K,,N/A,5734,N/A
N/A,2013-02-15,https://www.sec.gov/Archives/edgar/data/1326380/000108525613000034/0001085256-13-000034-index.htm,SC 13G/A,,N/A,N/A,N/A
